subtype,class,n,p_val,p_adj,standard_signif,fdr_signif,bonferroni_signif
LGG,non-epi,9,0.028595714984863047,0.6183289745408763,TRUE,FALSE,FALSE
KIRC,epi,16,0.05676681539862317,0.6183289745408763,FALSE,FALSE,FALSE
MM,non-epi,15,0.0639650663318148,0.6183289745408763,FALSE,FALSE,FALSE
ALL,non-epi,24,0.12168764221378905,0.660586857160059,FALSE,FALSE,FALSE
PRAD,epi,6,0.12884511030001067,0.660586857160059,FALSE,FALSE,FALSE
ESCA,epi,30,0.14166163434278312,0.660586857160059,FALSE,FALSE,FALSE
HNSC,epi,26,0.1694370140058106,0.660586857160059,FALSE,FALSE,FALSE
CLL,non-epi,2,0.20261717650437194,0.660586857160059,FALSE,FALSE,FALSE
BRCA,epi,49,0.2050097142910528,0.660586857160059,FALSE,FALSE,FALSE
LIHC,epi,14,0.297066534943716,0.706524960383376,FALSE,FALSE,FALSE
DLBC,non-epi,19,0.30760413248276514,0.706524960383376,FALSE,FALSE,FALSE
COREAD,epi,42,0.3113582633691996,0.706524960383376,FALSE,FALSE,FALSE
SKCM,non-epi,31,0.32862574098392117,0.706524960383376,FALSE,FALSE,FALSE
LCML,non-epi,10,0.3439010637909645,0.706524960383376,FALSE,FALSE,FALSE
SCLC,non-epi,41,0.3654439450258841,0.706524960383376,FALSE,FALSE,FALSE
BLCA,epi,17,0.4438504369871681,0.8044789170392421,FALSE,FALSE,FALSE
LUAD,epi,51,0.5104277331669838,0.8506558966759643,FALSE,FALSE,FALSE
MESO,epi,16,0.5279933151781847,0.8506558966759643,FALSE,FALSE,FALSE
STAD,epi,23,0.6402466442264969,0.9407292261435359,FALSE,FALSE,FALSE
LAML,non-epi,18,0.6583230321616238,0.9407292261435359,FALSE,FALSE,FALSE
GBM,non-epi,25,0.6812177154832502,0.9407292261435359,FALSE,FALSE,FALSE
OV,epi,25,0.7156048982582469,0.9432973658858709,FALSE,FALSE,FALSE
UCEC,epi,9,0.769857623317747,0.9617614973483365,FALSE,FALSE,FALSE
MB,non-epi,4,0.7959405495296579,0.9617614973483365,FALSE,FALSE,FALSE
NB,non-epi,23,0.8355522326393294,0.9672318217610738,FALSE,FALSE,FALSE
THCA,epi,14,0.8778315684409319,0.9672318217610738,FALSE,FALSE,FALSE
CESC,epi,13,0.9005261788809996,0.9672318217610738,FALSE,FALSE,FALSE
PAAD,epi,29,0.9470847192418267,0.9809091735004635,FALSE,FALSE,FALSE
LUSC,epi,14,0.9904053264486467,0.9904053264486467,FALSE,FALSE,FALSE
ACC,non-epi,1,NA,NA,FALSE,FALSE,FALSE
