"","Vinblastine_1004","Cisplatin_1005","Cytarabine_1006","Vorinostat_1012","5-Fluorouracil_1073","Paclitaxel_1080","Irinotecan_1088","Gemcitabine_1190","Luminespib_1559","Topotecan_1808"
"11223344",0.0292476634662531,91.8962903756083,9.36301392385841,3.77237508958128,36.8145810572634,0.0324916707390111,19.5564843369725,1.01136385723315,0.083796101533575,1.3909589495681
"1240121",0.0304169716003879,24.005921772921,8.00929139134034,9.61201965534269,109.651953915646,0.0558788307142453,20.6454664672975,0.236345972284045,0.085565143129575,1.01986516768439
"1240122",0.0281319112090925,87.6975339466988,14.1914661978872,8.33656339492578,79.8036359631254,0.0806321608785631,29.6586357969346,2.25929036071874,0.182654347593365,1.85053998529345
"1240123",0.0132315440774327,61.9838262297822,5.35825219015743,2.94495767970282,52.6643703399065,0.0278519177900298,16.0668394588757,1.56913904000171,0.0566662454988445,1.5387911742924
"1240124",0.0295363492522735,98.2206490388498,9.75884035555897,5.03914515654046,21.1545135123811,0.0744064391145372,46.5859518804842,2.22244575486165,0.238133806146071,2.20837224095018
"1240125",0.0560508029692621,68.3947688806451,11.7193491398483,6.95844240277272,345.212605430371,0.111929831926659,27.7114688815482,1.81745479340559,0.0654862579412128,1.75595253298996
"1240127",0.0177829497098124,55.9376412901056,8.76949574260285,6.40549229219382,178.692900018692,0.119984065472274,34.3774429739955,7.71021028138854,0.0599354406766143,5.10924067406831
"1240128",0.0124582197060773,25.9714822203115,4.10162379869147,6.29207948838962,120.897547524035,0.0642252967439129,11.3268485203959,0.506473634391856,0.0437641197813744,1.08431419586006
"1240129",0.0563698938755874,36.6120694589729,12.0002708525822,9.00620540544942,245.154119266553,0.210325183307098,20.3203497497722,1.09399877169725,0.140634245342334,1.36735544513336
"1240130",0.024958872280068,58.9153150201304,3.31871013211505,7.31347719322363,152.542144660937,0.0495795151541353,25.680537794564,9.2289934177665,0.117716780874874,3.96135764324286
"1240131",0.551031467098369,379.50100612082,48.0316849299069,32.2155600273591,1012.30729006806,2.40680587887282,66.9154384225812,21.677095008473,0.561680338746769,7.341957164175
"1240132",0.132648842234678,254.233886983657,32.4875605691486,14.1611802799975,360.480350041064,0.510735836677701,88.1460574275267,27.0645518576748,0.312676259576585,4.64292910779142
"1240134",0.0852963246489079,95.4574701397999,15.5543214763002,8.054243652368,282.265173716565,0.184937707616704,34.809177871445,5.16110953297042,0.189016312184556,2.71864130240277
"1240135",0.264736587201365,316.444024658354,58.5372880221405,9.27569507946412,272.213364832266,0.895049306579774,79.3287744899747,7.72570632829595,0.224717790525011,4.86589264769181
"1240136",0.100038335882309,133.857755309063,25.9177845086205,14.460711430465,112.410678560966,0.157625148952748,44.131187237118,13.1123342944485,0.502572004121805,2.80490578928444
"1240137",0.0672645305479629,99.1247468147633,24.1995017541059,14.4017137313325,173.021443720107,0.251319600872818,19.0395045594107,3.85798869630835,0.198117368359288,2.30444125852981
"1240138",0.0708961647248004,148.619745986273,30.7697826284063,8.25633570293474,430.55300811602,0.157272707938202,56.5076153941632,3.53993040110139,0.143777791016144,3.12229877266725
"1240139",0.114315103403239,73.8214131133432,19.3630843233835,5.67487821154633,336.374957941999,0.278405444655229,30.2433999024562,2.54216766547458,0.172755925437105,5.54824712937967
"1240140",0.042398958548804,75.047049386446,23.0228045312928,9.66815973515575,158.006395934727,0.0953313918100186,39.7944897079271,2.44094187945441,0.146850811093217,2.03079079585827
"1240141",0.289765443721229,38.353515627902,19.048603385196,17.171220830379,155.899823500799,0.44819986296382,32.5855754295418,4.69235986050624,0.463127774927337,3.49008690204847
"1240142",0.0147450968901844,28.0021459762262,13.523184202293,8.72147214999393,62.8305553061312,0.0664521968658384,12.4273519195976,1.31715013728858,0.0899707099689372,0.579661900204909
"1240143",0.0216123562110802,57.4412407047607,6.95938427936438,10.3206572152983,91.7537113398521,0.0850949981347634,30.4991351801158,2.65357621226957,0.488945102273848,2.17554728842073
"1240144",0.0649997653324097,51.6094199180065,16.137854634648,10.8575679037617,222.404904101551,0.180147221147714,25.1722086058529,1.33804727166656,0.164114862060648,2.23090363270472
